series_id,canonical_indicator_id,release_block,source_family_for_timing,mapping_confidence,mapping_basis,source_type,notes
A191RL1Q225SBEA,indicator_a191rl1q225sbea,gdp,BEA,high,Quarterly real GDP growth series is conceptually tied to the official BEA GDP release block present in the repo calendar layer.,official,"Official timing support exists through BEA calendar artifacts, but the current repo stores snapshot-style coverage rather than a completed historical archive."
AWHMAN,indicator_awhman,employment_situation,BLS,medium,Average weekly hours in manufacturing is released with the BLS establishment survey package associated with Employment Situation timing.,official,"Mapped to the Employment Situation block conservatively; official BLS timing support exists in the repo, but historical archive coverage is not yet complete."
BOPGSTB,indicator_bopgstb,trade,CENSUS_PROXY,high,Series is part of the explicit Census proxy trade block built from ALFRED realtime availability dates in Stage 0.,proxy,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
BOPTEXP,indicator_boptexp,trade,CENSUS_PROXY,high,Series is part of the explicit Census proxy trade block built from ALFRED realtime availability dates in Stage 0.,proxy,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
BOPTIMP,indicator_boptimp,trade,CENSUS_PROXY,high,Series is part of the explicit Census proxy trade block built from ALFRED realtime availability dates in Stage 0.,proxy,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
BUSINV,indicator_businv,inventories,CENSUS_PROXY,high,Series is part of the explicit Census proxy inventories block built from ALFRED realtime availability dates in Stage 0.,proxy,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
DGORDER,indicator_dgorder,durable_goods,CENSUS_PROXY,high,Series is part of the explicit Census proxy durable_goods block built from ALFRED realtime availability dates in Stage 0.,proxy,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
DSPIC96,indicator_dspic96,personal_income_outlays,BEA,medium,Real disposable personal income is released through the BEA personal income and outlays flow represented in the repo calendar layer.,official,"Mapped conservatively to the BEA personal income and outlays block; official timing support exists, but current coverage is snapshot-style."
FEDFUNDS,indicator_fedfunds,currently_unmapped,UNMAPPED,none,No defensible event-style release calendar mapping is encoded in the current repo for this policy-rate series.,unmapped,No defensible release-calendar mapping is encoded in the current repo for this indicator. Stage 3 must not force a release-event join for this series without expanding the timing-source layer first.
GDPC1,indicator_gdpc1,gdp,BEA,high,Quarterly GDP level series is conceptually tied to the official BEA GDP release block present in the repo calendar layer.,official,"Official timing support exists through BEA calendar artifacts, but the current repo stores snapshot-style coverage rather than a completed historical archive."
GS10,indicator_gs10,currently_unmapped,UNMAPPED,none,No defensible event-style release calendar mapping is encoded in the current repo for this rate series.,unmapped,No defensible release-calendar mapping is encoded in the current repo for this indicator. Stage 3 must not force a release-event join for this series without expanding the timing-source layer first.
HOUST,indicator_houst,housing,CENSUS_PROXY,high,Series is part of the explicit Census proxy housing block built from ALFRED realtime availability dates in Stage 0.,proxy,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
INDPRO,indicator_indpro,industrial_production_capacity_utilization,FED_G17,high,Industrial Production is the headline object of the Federal Reserve G.17 release dates page stored in the repo.,official,"Official G.17 release dates are available historically, but the source does not publish official intraday release times in the current repo artifacts."
ISRATIO,indicator_isratio,inventories,CENSUS_PROXY,high,Series is part of the explicit Census proxy inventories block built from ALFRED realtime availability dates in Stage 0.,proxy,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
NEWORDER,indicator_neworder,durable_goods,CENSUS_PROXY,high,Series is part of the explicit Census proxy durable_goods block built from ALFRED realtime availability dates in Stage 0.,proxy,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
PAYEMS,indicator_payems,employment_situation,BLS,high,Nonfarm payroll employment is part of the BLS Employment Situation release package represented in the repo calendar layer.,official,"Official BLS timing support exists, but the current repo calendar coverage is still snapshot/scheduled-page based rather than a completed historical archive."
PCECC96,indicator_pcecc96,personal_income_outlays,BEA,medium,Real personal consumption expenditures are released through the BEA personal income and outlays flow represented in the repo calendar layer.,official,"Mapped conservatively to the BEA personal income and outlays block; official timing support exists, but current coverage is snapshot-style."
PERMIT,indicator_permit,housing,CENSUS_PROXY,high,Series is part of the explicit Census proxy housing block built from ALFRED realtime availability dates in Stage 0.,proxy,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
RSAFS,indicator_rsafs,retail_sales,CENSUS_PROXY,high,Series is part of the explicit Census proxy retail_sales block built from ALFRED realtime availability dates in Stage 0.,proxy,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
RSXFS,indicator_rsxfs,retail_sales,CENSUS_PROXY,high,Series is part of the explicit Census proxy retail_sales block built from ALFRED realtime availability dates in Stage 0.,proxy,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
T10Y3MM,indicator_t10y3mm,currently_unmapped,UNMAPPED,none,No defensible event-style release calendar mapping is encoded in the current repo for this yield-spread series.,unmapped,No defensible release-calendar mapping is encoded in the current repo for this indicator. Stage 3 must not force a release-event join for this series without expanding the timing-source layer first.
TB3MS,indicator_tb3ms,currently_unmapped,UNMAPPED,none,No defensible event-style release calendar mapping is encoded in the current repo for this rate series.,unmapped,No defensible release-calendar mapping is encoded in the current repo for this indicator. Stage 3 must not force a release-event join for this series without expanding the timing-source layer first.
TCU,indicator_tcu,industrial_production_capacity_utilization,FED_G17,high,Capacity utilization is released in the Federal Reserve G.17 package stored in the repo calendar layer.,official,"Official G.17 release dates are available historically, but the source does not publish official intraday release times in the current repo artifacts."
UMCSENT,indicator_umcsent,currently_unmapped,UNMAPPED,none,No official University of Michigan release-calendar source is currently stored in the repo calendar layer.,unmapped,No defensible release-calendar mapping is encoded in the current repo for this indicator. Stage 3 must not force a release-event join for this series without expanding the timing-source layer first.
UNRATE,indicator_unrate,employment_situation,BLS,high,The unemployment rate is part of the BLS Employment Situation release package represented in the repo calendar layer.,official,"Official BLS timing support exists, but the current repo calendar coverage is still snapshot/scheduled-page based rather than a completed historical archive."
W875RX1,indicator_w875rx1,personal_income_outlays,BEA,medium,Real personal income less transfers is released through the BEA personal income and outlays flow represented in the repo calendar layer.,official,"Mapped conservatively to the BEA personal income and outlays block; official timing support exists, but current coverage is snapshot-style."
